系統,ｷｬﾝﾊﾟｽ前,学院前,3丁目,図書館,三田駅
70▼,10:40,10:42,10:43,10:53,10:58
70▼,11:40,11:42,11:43,11:53,11:58
70▼,13:10,13:12,13:13,13:23,13:28
70▼,14:10,14:12,14:13,14:23,14:28
70▲,15:08,15:10,15:11,15:27,15:32
70▲,15:15,15:17,15:18,15:34,15:39
73▲,15:40,→,→,15:58,16:03
70▲,16:00,16:02,16:03,16:19,16:24
70▲,16:30,16:32,16:33,16:49,16:56
70▲,16:54,16:56,16:57,17:13,17:20
70▼,17:15,17:17,17:18,17:28,17:35
70▲,17:40,17:42,17:43,17:59,18:06
70▲,18:10,18:12,18:13,18:29,18:36
70▲,18:32,18:34,18:35,18:51,18:56
70▼,19:10,19:12,19:13,19:23,19:28
70▼,20:15,20:17,20:18,20:28,20:33
70▼,21:20,21:22,21:23,21:33,21:38
