ｷｬﾝﾊﾟｽ前, 学院前, 新神戸, 三ノ宮
→, 6:05, 7:05, 7:12
→, 6:15, 7:16, 7:23
→, 6:25, 7:26, 7:33
→, 6:35, 7:29, 7:36
→, 7:04, 7:59, 8:06
→, 7:34, 8:36, 8:43
→, 7:45, 8:46, 8:53
→, 8:15, 9:16, 9:23
→, 9:00, 10:01, 10:08
→, 9:40, 10:41, 10:48
→, 10:20, 11:21, 11:28
→, 10:40, 11:41, 11:48
→, 11:20, 12:21, 12:28
→, 12:10, 13:11, 13:18
→, 13:10, 14:11, 14:18
13:35, 13:37, 14:19, 14:26
→, 13:40, 14:41, 14:48
→, 14:10, 15:11, 15:18
15:12, 15:14, 15:56, 16:03
15:16, 15:17, 16:18, 16:25
15:48, 15:50, 16:51, 16:58
→, 16:10, 17:11, 17:18
16:56, 16:58, 17:40, 17:47
17:00, 17:01, 18:02, 18:09
17:23, 17:25, 18:26, 18:33
→, 18:05, 19:06, 19:13
18:36, 18:38, 19:20, 19:27
18:40, 18:41, 19:42, 19:49
→, 19:10, 20:11, 20:18
→, 19:35, 20:36, 20:43
→, 20:07, 21:06, 21:13
→, 21:17, 22:15, 22:22
